original_image_id,source_file,output_file,assigned_condition,distortion,severity,parameters,seed
542,C:/Users/micha/Documents/studies/Masters/digital image processing/Robust Human Detection/data/yolo_pose/images/train/000000000542.jpg,C:/Users/micha/Documents/studies/Masters/digital image processing/Robust Human Detection/data/yolo_pose/images/train_mixed/000000000542.jpg,motion_blur_medium,motion_blur,medium,"{'distortion': 'motion_blur', 'kernel_length': 15, 'angle': 77.64521851001342, 'severity': 'medium', 'mse': 485.2635266012397, 'psnr': 21.27102710787106}",42
1580,C:/Users/micha/Documents/studies/Masters/digital image processing/Robust Human Detection/data/yolo_pose/images/train/000000001580.jpg,C:/Users/micha/Documents/studies/Masters/digital image processing/Robust Human Detection/data/yolo_pose/images/train_mixed/000000001580.jpg,jpeg_medium,jpeg,medium,"{'distortion': 'jpeg', 'quality': 20, 'severity': 'medium', 'mse': 144.550810546875, 'psnr': 26.530598296135814}",42
2184,C:/Users/micha/Documents/studies/Masters/digital image processing/Robust Human Detection/data/yolo_pose/images/train/000000002184.jpg,C:/Users/micha/Documents/studies/Masters/digital image processing/Robust Human Detection/data/yolo_pose/images/train_mixed/000000002184.jpg,clean,,,{'condition': 'clean'},42
3378,C:/Users/micha/Documents/studies/Masters/digital image processing/Robust Human Detection/data/yolo_pose/images/train/000000003378.jpg,C:/Users/micha/Documents/studies/Masters/digital image processing/Robust Human Detection/data/yolo_pose/images/train_mixed/000000003378.jpg,motion_blur_severe,motion_blur,severe,"{'distortion': 'motion_blur', 'kernel_length': 25, 'angle': 56.14998290272131, 'severity': 'severe', 'mse': 311.755137587822, 'psnr': 23.192667416759303}",42
4684,C:/Users/micha/Documents/studies/Masters/digital image processing/Robust Human Detection/data/yolo_pose/images/train/000000004684.jpg,C:/Users/micha/Documents/studies/Masters/digital image processing/Robust Human Detection/data/yolo_pose/images/train_mixed/000000004684.jpg,clean,,,{'condition': 'clean'},42
5260,C:/Users/micha/Documents/studies/Masters/digital image processing/Robust Human Detection/data/yolo_pose/images/train/000000005260.jpg,C:/Users/micha/Documents/studies/Masters/digital image processing/Robust Human Detection/data/yolo_pose/images/train_mixed/000000005260.jpg,clean,,,{'condition': 'clean'},42
6216,C:/Users/micha/Documents/studies/Masters/digital image processing/Robust Human Detection/data/yolo_pose/images/train/000000006216.jpg,C:/Users/micha/Documents/studies/Masters/digital image processing/Robust Human Detection/data/yolo_pose/images/train_mixed/000000006216.jpg,clean,,,{'condition': 'clean'},42
6864,C:/Users/micha/Documents/studies/Masters/digital image processing/Robust Human Detection/data/yolo_pose/images/train/000000006864.jpg,C:/Users/micha/Documents/studies/Masters/digital image processing/Robust Human Detection/data/yolo_pose/images/train_mixed/000000006864.jpg,motion_blur_mild,motion_blur,mild,"{'distortion': 'motion_blur', 'kernel_length': 5, 'angle': 152.57626193116943, 'severity': 'mild', 'mse': 77.57802010148322, 'psnr': 29.233416692591042}",42
7256,C:/Users/micha/Documents/studies/Masters/digital image processing/Robust Human Detection/data/yolo_pose/images/train/000000007256.jpg,C:/Users/micha/Documents/studies/Masters/digital image processing/Robust Human Detection/data/yolo_pose/images/train_mixed/000000007256.jpg,jpeg_severe,jpeg,severe,"{'distortion': 'jpeg', 'quality': 5, 'severity': 'severe', 'mse': 262.0329886199422, 'psnr': 23.947243906407813}",42
7524,C:/Users/micha/Documents/studies/Masters/digital image processing/Robust Human Detection/data/yolo_pose/images/train/000000007524.jpg,C:/Users/micha/Documents/studies/Masters/digital image processing/Robust Human Detection/data/yolo_pose/images/train_mixed/000000007524.jpg,clean,,,{'condition': 'clean'},42
