task,model_name,distortion,input,severity,recall
detection,yolov8n,low_light,distorted,clean,0.7360000925000925
detection,yolov8n,low_light,distorted,mild,0.7178254523254524
detection,yolov8n,low_light,distorted,medium,0.6874980019980019
detection,yolov8n,low_light,distorted,severe,0.65047335997336
detection,yolov8n,low_light,enhanced,clean,0.7360000925000925
detection,yolov8n,low_light,enhanced,mild,0.7280228105228106
detection,yolov8n,low_light,enhanced,medium,0.7139263884263884
detection,yolov8n,low_light,enhanced,severe,0.683942538942539
detection,yolov8n,motion_blur,distorted,clean,0.7360000925000925
detection,yolov8n,motion_blur,distorted,mild,0.7056285196285197
detection,yolov8n,motion_blur,distorted,medium,0.5008541458541458
detection,yolov8n,motion_blur,distorted,severe,0.3412627927627927
detection,yolov8n,motion_blur,enhanced,clean,0.7360000925000925
detection,yolov8n,motion_blur,enhanced,mild,0.70497890997891
detection,yolov8n,motion_blur,enhanced,medium,0.4942508972508972
detection,yolov8n,motion_blur,enhanced,severe,0.3273489103489103
detection,yolov8n,jpeg,distorted,clean,0.7360000925000925
detection,yolov8n,jpeg,distorted,mild,0.7178071003071003
detection,yolov8n,jpeg,distorted,medium,0.6889247789247789
detection,yolov8n,jpeg,distorted,severe,0.3588202353202352
detection,yolov8n,jpeg,enhanced,clean,0.7360000925000925
detection,yolov8n,jpeg,enhanced,mild,0.7169893994893994
detection,yolov8n,jpeg,enhanced,medium,0.7087451992451993
detection,yolov8n,jpeg,enhanced,severe,0.5278712768712769
