condition,model_name,psnr,pck_02
enhanced_jpeg_medium,yolov8n-pose,26.80265015045882,0.9196305856828616
enhanced_jpeg_mild,yolov8n-pose,28.558965878387667,0.93083896042143
enhanced_jpeg_severe,yolov8n-pose,23.048178094708643,0.8722768779872304
enhanced_low_light_medium,yolov8n-pose,22.946573825532543,0.926128053281228
enhanced_low_light_mild,yolov8n-pose,18.5858093077097,0.9288671212959846
enhanced_low_light_severe,yolov8n-pose,20.06241558017877,0.9148395747876548
enhanced_motion_blur_medium,yolov8n-pose,21.073550804941025,0.8877084054276982
enhanced_motion_blur_mild,yolov8n-pose,25.649020363563817,0.9310547792925769
enhanced_motion_blur_severe,yolov8n-pose,19.698923920244106,0.7299878476302029
jpeg_medium,yolov8n-pose,26.63878780489265,0.9166930423904864
jpeg_mild,yolov8n-pose,29.26948806727597,0.9291895036422582
jpeg_severe,yolov8n-pose,22.428407004663026,0.7697065913752188
low_light_medium,yolov8n-pose,13.832888255017629,0.9250293033059722
low_light_mild,yolov8n-pose,19.101788463443825,0.9276600662258342
low_light_severe,yolov8n-pose,11.460189773078447,0.908487502812573
motion_blur_medium,yolov8n-pose,21.056719985675105,0.8974512078413338
motion_blur_mild,yolov8n-pose,25.92224747656803,0.9295923892111452
motion_blur_severe,yolov8n-pose,19.689535019440587,0.7447780029209301
